1, 2, 2, 2, 1, 14, 1, 9, 5, 2, 13, 13, 372, 51, 138, 23, 115, 202, 0, 0, 118, 21, 97, 0, 0, 0, 0, 7, 7, 7, 3, 3, 1.46, 28, 28, 28, 17
0, 1, 1, 1, 1, 15, 2, 6, 7, 8, 238, 237, 5133, 1015, 1852, 439, 1345, 2302, 1, 0, 1317, 287, 1030, 1, 1, 1, 1, 16, 16, 16, 8, 3, 1.24, 474, 474, 474, 308
0, 1, 1, 1, 1, 6, 0, 4, 0, 3, 13, 12, 137, 23, 78, 19, 59, 38, 1, 0, 63, 18, 45, 1, 1, 1, 1, 2, 2, 2, 1, 1, 0.49, 18, 18, 18, 13
0, 2, 2, 2, 1, 17, 2, 7, 6, 2, 13, 13, 450, 108, 109, 24, 85, 234, 0, 0, 93, 21, 72, 0, 0, 0, 0, 4, 4, 4, 4, 2, 2.15, 26, 26, 26, 19
0, 1, 1, 1, 1, 8, 0, 8, 0, 2, 1, 1, 60, 7, 32, 13, 19, 21, 0, 0, 25, 8, 17, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0.66, 1, 1, 1, 1
1, 2, 2, 2, 1, 14, 1, 7, 6, 1, 12, 12, 274, 46, 98, 20, 78, 135, 0, 0, 82, 19, 63, 0, 0, 0, 0, 6, 6, 6, 4, 2, 1.38, 25, 25, 25, 17
1, 1, 1, 1, 1, 149, 0, 0, 0, 0, 1, 0, 192, 13, 149, 0, 149, 37, 1, 0, 15, 0, 15, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0.25, 1, 1, 1, 1
1, 2, 2, 2, 1, 41, 11, 21, 24, 0, 2, 1, 113, 25, 56, 9, 47, 37, 3, 0, 56, 9, 47, 3, 3, 3, 1, 3, 3, 3, 1, 2, 0.66, 5, 5, 5, 2
0, 1, 1, 1, 1, 39, 13, 21, 12, 0, 6, 5, 286, 85, 113, 13, 100, 88, 1, 0, 45, 13, 32, 1, 1, 1, 1, 4, 4, 4, 3, 2, 0.78, 11, 11, 11, 8
1, 3, 3, 3, 2, 23, 3, 11, 9, 6, 35, 34, 1294, 267, 461, 60, 401, 599, 2, 0, 403, 56, 347, 2, 2, 2, 1, 16, 16, 16, 13, 4, 1.3, 116, 116, 116, 73
0, 2, 2, 2, 1, 15, 0, 12, 5, 1, 1, 1, 34, 5, 22, 6, 16, 9, 0, 0, 17, 6, 11, 0, 0, 0, 0, 2, 2, 2, 1, 1, 0.41, 2, 2, 2, 1
1, 2, 2, 2, 1, 12, 0, 0, 0, 0, 1, 0, 53, 8, 14, 2, 12, 31, 2, 0, 14, 2, 12, 2, 2, 2, 1, 2, 2, 2, 1, 1, 2.21, 2, 2, 2, 1
1, 1, 1, 1, 1, 200, 0, 0, 0, 0, 1, 0, 274, 45, 201, 1, 200, 67, 1, 0, 132, 1, 131, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0.33, 1, 1, 1, 1
1, 3, 3, 3, 1, 31, 2, 19, 16, 0, 8, 7, 283, 33, 126, 15, 111, 136, 2, 0, 106, 13, 93, 2, 2, 2, 1, 7, 7, 7, 4, 4, 1.08, 25, 25, 25, 11
1, 1, 1, 1, 1, 8, 0, 7, 0, 10, 54, 54, 544, 86, 437, 86, 351, 46, 0, 0, 323, 76, 247, 0, 0, 0, 0, 3, 3, 3, 1, 2, 0.11, 75, 75, 75, 54
1, 1, 1, 1, 1, 3, 0, 3, 0, 1, 3, 3, 56, 12, 15, 6, 9, 31, 0, 0, 15, 6, 9, 0, 0, 0, 0, 1, 1, 1, 1, 0, 2.07, 3, 3, 3, 3
0, 2, 2, 2, 1, 15, 1, 8, 7, 1, 9, 9, 191, 28, 87, 14, 73, 86, 0, 0, 82, 14, 68, 0, 0, 0, 0, 9, 9, 9, 1, 3, 0.99, 25, 25, 25, 9
